% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1150791 +2.487105052e-02 +2.487105052e-02 -4.620651289e+02 -4.620900000e+02 -2.3438e+00 +2.2941e+00 +2.2121e+00 +7.3209e-01 +2.3004e+00 +2.1739e+00 +2.5486e+00 +2.5998e+00 +1.8045e+00 +5.6151e-02 -2.7504e+00 -3.7857e+00 -1.3778e-01 -2.9611e+00 -1.3840e+00 -3.9238e+00 -3.3995e-01 +2.9479e+00 -2.8302e+00 +1.8199e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.179828484e+03 +1.179828484e+03 +1.257488484e+03 +7.766000000e+01 -1.4098e-02 +1.9741e+00 -3.1032e+00 -2.7321e+00 +2.1332e+00 +6.7414e-01 +4.2393e+00 -2.5515e+00 +3.6668e+00 -3.0471e+00 -4.4143e+00 -9.2777e-01 +2.9676e+00 +3.3722e+00 +2.7671e-01 +3.9472e+00 +1.2849e+00 -8.3832e-01 +3.1867e+00 -1.2815e+00
123 +5.442366854e+02 +5.442366854e+02 +6.218966854e+02 +7.766000000e+01 +2.9779e+00 -4.6821e+00 -3.0936e+00 -3.6666e+00 -2.4085e+00 +4.2267e+00 +1.5749e+00 -1.7374e+00 +1.7275e+00 -2.4827e+00 +2.1378e+00 +1.3327e+00 -7.3208e-01 +1.1856e+00 -1.3876e+00 +1.1391e+00 -2.5137e+00 -2.9990e+00 +1.4310e+00 -3.2449e+00
1302 +3.842721584e+02 +3.842721584e+02 +4.619321584e+02 +7.766000000e+01 +2.9779e+00 -1.1770e+00 +2.5788e+00 +5.6794e-01 -3.2776e+00 -2.1574e+00 +1.1092e+00 +7.8220e-01 +3.5107e+00 -2.4827e+00 +2.1378e+00 -3.7994e-01 -7.3208e-01 -3.6611e+00 -3.3514e+00 -1.2415e+00 +4.8893e-01 -2.9990e+00 +1.2196e+00 -2.7706e+00
2892 +2.234998908e+02 +2.234998908e+02 +3.011598908e+02 +7.766000000e+01 +4.9616e+00 +4.3567e-01 +2.2915e+00 +5.6794e-01 -3.2776e+00 -1.3185e+00 +1.4638e+00 +7.8220e-01 +1.2759e+00 -3.9690e+00 +3.9758e+00 -9.4152e-01 -2.0760e-01 -3.2909e+00 -3.3514e+00 +1.1391e+00 -2.5137e+00 -2.9990e+00 +2.4228e+00 -3.7370e+00
4213 +1.441462169e+02 +1.441462169e+02 +2.218062169e+02 +7.766000000e+01 +4.9616e+00 -1.6595e-01 +2.2694e+00 +5.6794e-01 -3.1508e+00 -1.3185e+00 +1.4638e+00 +7.6105e-01 +1.2759e+00 -3.9690e+00 +3.9758e+00 -4.6051e-01 -2.0760e-01 +1.3855e-01 -3.3514e+00 +1.4310e+00 +5.6415e-01 -3.0822e+00 +2.4228e+00 -3.7770e+00
22108 +9.975918429e+01 +9.975918429e+01 +1.774191843e+02 +7.766000000e+01 +2.3667e+00 -1.4588e-01 +2.1159e+00 +2.4371e+00 -1.1415e+00 +3.3336e-01 +1.2865e+00 +8.4645e-01 +1.0089e+00 -2.8134e+00 +3.5296e+00 -3.5895e-01 +7.4395e-01 -6.7610e-01 -2.4042e+00 +4.8608e-01 -3.1416e-01 -2.7130e+00 +3.0465e+00 -3.0544e+00
50849 +5.963854588e+01 +5.963854588e+01 +1.372985459e+02 +7.766000000e+01 +1.3092e+00 +2.0516e-01 -3.9226e+00 +3.4341e+00 -2.4587e+00 +8.9421e-01 -2.1812e-01 +1.2753e+00 +1.7880e-01 -4.4482e+00 +2.8872e+00 +6.6284e-01 -2.0760e-01 -2.0864e+00 -3.2634e+00 +1.8500e+00 +5.6415e-01 -3.0822e+00 +3.2044e+00 -3.4492e+00
53475 +3.801219942e+01 +3.801219942e+01 +1.156721994e+02 +7.766000000e+01 +2.3111e+00 -8.4427e-01 -4.0455e+00 +3.4341e+00 -2.4587e+00 +2.5043e-01 -2.1812e-01 +1.2753e+00 +1.7880e-01 -4.4482e+00 +2.8872e+00 +1.2214e-01 +3.6817e-01 -2.0864e+00 -3.2634e+00 +1.3211e+00 +1.2536e-01 -3.0822e+00 +2.8018e+00 -3.4492e+00
97989 +2.500993927e+01 +2.500993927e+01 +1.026699393e+02 +7.766000000e+01 +2.3111e+00 -8.4427e-01 -2.8958e+00 +3.4341e+00 -2.3929e+00 +2.3857e-01 -2.1812e-01 +8.4525e-02 +1.7880e-01 -4.4482e+00 +2.9611e+00 +6.6284e-01 +2.6270e-01 -1.5923e+00 -3.2634e+00 +9.7850e-01 +1.2536e-01 -3.0822e+00 +2.8018e+00 -3.4492e+00
125579 +1.557191628e+01 +1.557191628e+01 +9.323191628e+01 +7.766000000e+01 +2.3667e+00 -7.9475e-01 -3.9098e-01 +2.4371e+00 -2.3877e+00 +2.1437e-01 +5.9785e-01 +7.5155e-01 +1.7920e-01 -4.4542e+00 +2.9873e+00 +6.6284e-01 +3.3617e-01 -1.1026e+00 -2.8039e+00 +1.3673e+00 -3.1416e-01 -2.7624e+00 +2.7475e+00 -3.4456e+00
153698 +9.721036118e+00 +9.721036118e+00 +8.738103612e+01 +7.766000000e+01 +2.3873e+00 -8.4427e-01 -2.1957e+00 +3.3575e+00 -2.4587e+00 -5.1374e-01 +6.0712e-01 +8.4525e-02 +1.7880e-01 -4.4482e+00 +2.9611e+00 +6.6284e-01 +2.9647e-01 -1.5660e+00 -2.8176e+00 +1.3211e+00 -2.9349e-01 -3.0822e+00 +2.8018e+00 -3.4492e+00
178816 +6.233935801e+00 +6.233935801e+00 +8.389393580e+01 +7.766000000e+01 +2.4304e+00 -8.3144e-01 -3.3162e-01 +2.4371e+00 -2.4965e+00 -5.3346e-01 +6.1202e-01 +1.1948e-01 +1.5757e-01 -3.8607e+00 +2.9502e+00 -3.5895e-01 +2.9554e-01 -1.6014e+00 -2.3425e+00 +1.3673e+00 -3.1416e-01 -2.7380e+00 +2.7695e+00 -3.4608e+00
