% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
51672 +3.905196270e+01 +3.905196270e+01 +1.712319627e+02 +1.321800000e+02 -2.7970e+00 +2.3957e+00 +3.4494e+00 -1.9178e+00 -3.2896e+00 -1.8490e+00 -2.8956e+00 +3.0353e-02 +1.0661e+00 -1.8913e-01 +2.4218e-01 +2.5915e+00 -4.8190e-01 +2.8158e+00 -3.6137e+00 +2.3093e+00 +2.5321e+00 +3.4602e+00 -1.0181e+00 +1.0630e+00
97080 +2.494059720e+01 +2.494059720e+01 +1.571205972e+02 +1.321800000e+02 -2.7970e+00 +2.3957e+00 +3.4494e+00 -2.0056e+00 -2.5178e+00 -1.8330e+00 -1.5920e+00 +1.2159e-01 +9.7545e-01 -2.1472e-01 +2.2708e-01 +2.5915e+00 -4.8190e-01 +2.8158e+00 -3.6137e+00 +2.6950e+00 +2.5321e+00 +3.4602e+00 -1.0181e+00 +1.0630e+00
100042 +1.577672760e+01 +1.577672760e+01 +1.479567276e+02 +1.321800000e+02 -2.7970e+00 +2.3957e+00 +3.4494e+00 -2.0056e+00 -2.5178e+00 -1.8413e+00 -1.5920e+00 +1.2159e-01 +9.0417e-01 -2.1472e-01 +2.4218e-01 +2.4655e+00 -9.7003e-01 +2.8158e+00 -3.5873e+00 +2.7551e+00 +2.1259e+00 +3.4602e+00 -1.0181e+00 +1.0630e+00
144630 +9.860565526e+00 +9.860565526e+00 +1.420405655e+02 +1.321800000e+02 -2.8056e+00 +1.4606e+00 +3.4494e+00 -1.0429e+00 -2.5211e+00 -1.0534e+00 -2.3000e+00 +1.1025e-01 +9.3293e-01 -1.9892e-01 +7.8263e-01 +3.0394e+00 -1.5099e+00 +3.7744e+00 -3.6063e+00 +2.7475e+00 +2.1011e+00 +3.4552e+00 -1.3850e+00 +1.0707e+00
193306 +6.155419348e+00 +6.155419348e+00 +1.383354193e+02 +1.321800000e+02 -2.7708e+00 +1.4606e+00 +3.4494e+00 -1.0860e+00 -2.5533e+00 -1.0464e+00 -2.2837e+00 +8.1037e-02 +9.0234e-01 +4.2245e-01 +8.0151e-01 +3.0419e+00 -9.7725e-01 +3.2981e+00 -3.5809e+00 +2.7441e+00 +1.6684e+00 +3.4602e+00 -1.3728e+00 +1.0922e+00
196188 +3.970928150e+00 +3.970928150e+00 +1.361509282e+02 +1.321800000e+02 -2.7708e+00 +1.4606e+00 +3.4494e+00 -1.0860e+00 -2.4698e+00 -1.0464e+00 -2.2837e+00 +8.1037e-02 +9.0234e-01 +4.2245e-01 +8.0151e-01 +3.0378e+00 -9.7725e-01 +3.2981e+00 -3.5809e+00 +2.7441e+00 +1.6684e+00 +3.4602e+00 -1.3845e+00 +1.0780e+00
241460 +2.491704271e+00 +2.491704271e+00 +1.346717043e+02 +1.321800000e+02 -2.7708e+00 +1.4606e+00 +3.4494e+00 -1.9691e+00 -2.4698e+00 -1.0464e+00 -2.2837e+00 +8.1037e-02 +9.0234e-01 +4.2245e-01 +8.0151e-01 +3.0378e+00 -9.7725e-01 +3.2697e+00 -3.5809e+00 +2.7441e+00 +1.6684e+00 +3.4602e+00 -1.3845e+00 +1.0780e+00
261992 +1.521138322e+00 +1.521138322e+00 +1.337011383e+02 +1.321800000e+02 -3.7732e+00 +1.4606e+00 +3.4494e+00 -1.9696e+00 -2.5204e+00 -1.0534e+00 -2.3000e+00 +9.0268e-02 +9.3293e-01 +3.8616e-01 +7.9284e-01 +3.0394e+00 -9.7749e-01 +3.2873e+00 -3.5737e+00 +2.7475e+00 +1.6793e+00 +3.4552e+00 -1.3850e+00 +1.0707e+00
291410 +9.751088978e-01 +9.751088978e-01 +1.331551089e+02 +1.321800000e+02 -3.7429e+00 +1.4606e+00 +3.4494e+00 -1.9691e+00 -2.4698e+00 -1.0464e+00 -2.2767e+00 +8.9701e-02 +9.1984e-01 +4.1795e-01 +8.0151e-01 +3.0378e+00 -9.7725e-01 +3.2697e+00 -3.5809e+00 +2.7441e+00 +1.6684e+00 +3.4602e+00 -1.3845e+00 +1.0755e+00
299250 +5.204710988e-01 +5.204710988e-01 +1.327004711e+02 +1.321800000e+02 -3.7816e+00 +1.4787e+00 +3.4494e+00 -1.9668e+00 -2.4952e+00 -1.0323e+00 -2.2744e+00 +1.0601e-01 +9.2458e-01 +4.0177e-01 +7.9783e-01 +3.0358e+00 -9.7989e-01 +3.2769e+00 -3.5836e+00 +2.7441e+00 +1.6684e+00 +3.4602e+00 -1.3845e+00 +1.0662e+00
346873 +3.960469007e-01 +3.960469007e-01 +1.325760469e+02 +1.321800000e+02 -3.7604e+00 +1.4787e+00 +3.4494e+00 -1.9668e+00 -2.4952e+00 -1.0323e+00 -2.2744e+00 +1.0601e-01 +9.2458e-01 +4.0177e-01 +7.9783e-01 +3.0358e+00 -9.7989e-01 +3.2769e+00 -3.5836e+00 +2.7374e+00 +1.6763e+00 +3.4602e+00 -1.3845e+00 +1.0662e+00
391685 +2.122134700e-01 +2.122134700e-01 +1.323922135e+02 +1.321800000e+02 -3.7604e+00 +1.4787e+00 +3.4494e+00 -1.9668e+00 -2.4952e+00 -1.0661e+00 -2.2744e+00 +1.0601e-01 +9.2458e-01 +4.0177e-01 +7.9783e-01 +3.0358e+00 -9.7989e-01 +3.2769e+00 -3.5836e+00 +2.7374e+00 +1.6763e+00 +3.4602e+00 -1.3845e+00 +1.0662e+00
392775 +1.584234045e-01 +1.584234045e-01 +1.323384234e+02 +1.321800000e+02 -3.7604e+00 +1.4787e+00 +3.4541e+00 -1.9668e+00 -2.4952e+00 -1.0593e+00 -2.2744e+00 +1.0601e-01 +9.2458e-01 +4.0177e-01 +7.9783e-01 +3.0358e+00 -9.7989e-01 +3.2769e+00 -3.5836e+00 +2.7374e+00 +1.6763e+00 +3.4602e+00 -1.3845e+00 +1.0662e+00
496589 +8.474737283e-02 +8.474737283e-02 +1.322647474e+02 +1.321800000e+02 -3.7604e+00 +1.4829e+00 +3.4563e+00 -1.9668e+00 -2.4952e+00 -1.0534e+00 -2.2744e+00 +9.9704e-02 +9.2858e-01 +4.1447e-01 +7.9783e-01 +3.0358e+00 -9.8262e-01 +3.2769e+00 -3.5836e+00 +2.7374e+00 +1.6763e+00 +3.4602e+00 -1.3845e+00 +1.0662e+00
585957 +6.041168012e-02 +6.041168012e-02 +1.322404117e+02 +1.321800000e+02 -3.7573e+00 +1.4800e+00 +3.4623e+00 -1.9687e+00 -2.4962e+00 -1.0534e+00 -2.2714e+00 +9.9394e-02 +9.3035e-01 +4.0866e-01 +7.9105e-01 +3.0397e+00 -9.8807e-01 +3.2813e+00 -3.5873e+00 +2.7376e+00 +1.6740e+00 +3.4589e+00 -1.3878e+00 +1.0643e+00
676446 +3.864182707e-02 +3.864182707e-02 +1.322186418e+02 +1.321800000e+02 -3.7641e+00 +1.4843e+00 +3.4594e+00 -1.9691e+00 -2.4911e+00 -1.0565e+00 -2.2760e+00 +1.0024e-01 +9.2644e-01 +4.1012e-01 +7.9284e-01 +3.0394e+00 -9.8537e-01 +3.2799e+00 -3.5866e+00 +2.7369e+00 +1.6740e+00 +3.4592e+00 -1.3850e+00 +1.0633e+00
773229 +2.246056326e-02 +2.246056326e-02 +1.322024606e+02 +1.321800000e+02 -3.7649e+00 +1.4845e+00 +3.4580e+00 -1.9683e+00 -2.4916e+00 -1.0558e+00 -2.2749e+00 +9.7305e-02 +9.3035e-01 +4.1036e-01 +7.9356e-01 +3.0361e+00 -9.8536e-01 +3.2790e+00 -3.5873e+00 +2.7382e+00 +1.6728e+00 +3.4589e+00 -1.3847e+00 +1.0656e+00
824939 +1.506367385e-02 +1.506367385e-02 +1.321950637e+02 +1.321800000e+02 -3.7649e+00 +1.4821e+00 +3.4602e+00 -1.9683e+00 -2.4916e+00 -1.0558e+00 -2.2749e+00 +9.7305e-02 +9.3035e-01 +4.1036e-01 +7.9356e-01 +3.0361e+00 -9.8536e-01 +3.2790e+00 -3.5861e+00 +2.7382e+00 +1.6728e+00 +3.4589e+00 -1.3847e+00 +1.0656e+00
862485 +9.421576952e-03 +9.421576952e-03 +1.321894216e+02 +1.321800000e+02 -3.7631e+00 +1.4816e+00 +3.4602e+00 -1.9654e+00 -2.4916e+00 -1.0568e+00 -2.2729e+00 +9.5985e-02 +9.2673e-01 +4.0866e-01 +7.9284e-01 +3.0341e+00 -9.8646e-01 +3.2774e+00 -3.5855e+00 +2.7376e+00 +1.6734e+00 +3.4589e+00 -1.3871e+00 +1.0658e+00
957871 +5.926766777e-03 +5.926766777e-03 +1.321859268e+02 +1.321800000e+02 -3.7644e+00 +1.4829e+00 +3.4602e+00 -1.9650e+00 -2.4916e+00 -1.0534e+00 -2.2744e+00 +9.7474e-02 +9.2849e-01 +4.0866e-01 +7.9336e-01 +3.0361e+00 -9.8536e-01 +3.2787e+00 -3.5855e+00 +2.7390e+00 +1.6739e+00 +3.4589e+00 -1.3863e+00 +1.0662e+00
1084516 +3.541830874e-03 +3.541830874e-03 +1.321835418e+02 +1.321800000e+02 -3.7649e+00 +1.4826e+00 +3.4602e+00 -1.9654e+00 -2.4916e+00 -1.0559e+00 -2.2749e+00 +9.7305e-02 +9.2840e-01 +4.0846e-01 +7.9114e-01 +3.0361e+00 -9.8536e-01 +3.2790e+00 -3.5855e+00 +2.7382e+00 +1.6735e+00 +3.4589e+00 -1.3871e+00 +1.0656e+00
% function evaluation | noise-free fitness - Fopt (-4.174000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.697534167e+03 +2.697534167e+03 +2.655794167e+03 -4.174000000e+01 -3.1673e+00 +1.8742e+00 -2.4596e+00 -3.7752e+00 +2.0290e+00 +3.9345e+00 -3.3824e+00 +1.0290e-01 +8.2517e-01 +1.0421e+00 -2.3391e+00 -1.6291e+00 -2.0292e-02 -3.8100e+00 +3.4567e+00 -3.3259e+00 -8.3583e-01 -3.9590e+00 -3.9137e+00 -1.8811e-01
125 +4.877631699e+02 +4.877631699e+02 +4.460231699e+02 -4.174000000e+01 +2.1986e+00 +2.0302e+00 +3.5967e+00 +2.9265e+00 -4.2480e+00 +1.0437e+00 +9.2769e-01 +1.6733e+00 -8.1472e-03 +2.7626e+00 -1.7891e+00 -1.6255e+00 +1.5600e+00 -2.0633e+00 -1.8786e+00 -2.0008e+00 -2.9730e-01 +1.8908e+00 -4.4119e+00 +3.2376e+00
1098 +3.857924934e+02 +3.857924934e+02 +3.440524934e+02 -4.174000000e+01 +2.1986e+00 +1.8674e+00 +3.5967e+00 +2.4121e+00 -4.2480e+00 +1.0437e+00 +9.2769e-01 +1.6733e+00 -8.1472e-03 +2.7626e+00 -3.4112e+00 +2.1441e+00 -1.2363e+00 -2.0633e+00 -1.8786e+00 -2.0008e+00 +4.2621e-01 +1.8908e+00 -4.4119e+00 +3.8852e+00
3038 +2.483222274e+02 +2.483222274e+02 +2.065822274e+02 -4.174000000e+01 +2.1986e+00 +4.5932e-01 +1.5270e+00 +2.7661e+00 -4.2480e+00 +2.6596e-01 +1.6141e+00 -7.7734e-01 -8.1472e-03 +2.7626e+00 -3.4112e+00 +2.1441e+00 +1.5600e+00 -2.0633e+00 -2.7023e+00 -9.5510e-01 -1.8264e-01 +1.8908e+00 -3.4548e+00 +3.6144e+00
4574 +1.580384070e+02 +1.580384070e+02 +1.162984070e+02 -4.174000000e+01 +2.1986e+00 +1.1225e+00 +1.4289e+00 +2.9265e+00 -1.8291e+00 +1.9264e+00 +1.6141e+00 -9.4409e-01 -3.1045e+00 +2.3067e+00 -3.4112e+00 +2.2298e+00 +1.5600e+00 -2.0633e+00 -2.6925e+00 -1.1926e+00 -5.4091e-01 +1.8908e+00 -2.9332e+00 +3.6144e+00
22263 +9.150621791e+01 +9.150621791e+01 +4.976621791e+01 -4.174000000e+01 +1.2513e+00 -1.6619e+00 -7.8873e-01 +3.7230e+00 +2.3187e+00 -1.6796e+00 +4.2579e+00 -1.7849e+00 -1.8152e+00 +3.4707e+00 -4.5102e+00 +2.6043e+00 +5.8325e-01 -3.3621e+00 -2.1801e+00 -2.6435e-01 -5.2789e-01 +8.6468e-01 -2.2403e+00 +4.5935e+00
51181 +6.126259192e+01 +6.126259192e+01 +1.952259192e+01 -4.174000000e+01 +2.1986e+00 +8.1859e-01 -1.9097e-01 +2.8763e+00 -8.8484e-01 +2.0531e+00 +2.2870e+00 -1.6974e+00 -2.5551e+00 +2.8578e+00 -3.4112e+00 +2.5927e+00 +1.0299e+00 -2.9950e+00 -2.9586e+00 -3.4942e-01 -1.1740e-01 +2.6222e+00 -1.9116e+00 +3.9044e+00
53929 +3.966413960e+01 +3.966413960e+01 -2.075860402e+00 -4.174000000e+01 +2.1366e+00 +8.1859e-01 -1.0531e-01 +2.8763e+00 +6.2935e-02 +1.3507e+00 +2.2870e+00 -2.4577e+00 -2.5257e+00 +3.5264e+00 -3.9420e+00 +3.6092e+00 +1.5307e+00 -2.8961e+00 -2.9586e+00 -3.4942e-01 -5.3413e-01 +1.8908e+00 -1.9116e+00 +3.9044e+00
65638 +2.457776837e+01 +2.457776837e+01 -1.716223163e+01 -4.174000000e+01 +3.1165e+00 -2.7909e+00 +7.7211e-01 +3.6803e+00 +3.5793e-02 +1.4146e+00 +2.2508e+00 -2.5007e+00 -1.7955e+00 +2.8379e+00 -3.4209e+00 +3.0789e+00 +3.4535e-02 -2.9968e+00 -3.8760e+00 +1.1415e-01 -1.3422e+00 +1.8899e+00 -1.8993e+00 +3.9145e+00
122955 +1.561441463e+01 +1.561441463e+01 -2.612558537e+01 -4.174000000e+01 +3.1165e+00 -2.7909e+00 +7.9273e-01 +3.6803e+00 +2.2214e+00 +5.4527e-01 +2.9615e+00 -1.7356e+00 -1.2933e+00 +3.4840e+00 -3.4209e+00 +3.0783e+00 +5.6863e-01 -2.9397e+00 -3.8760e+00 -3.5370e-01 -1.3422e+00 +1.8899e+00 -1.8993e+00 +4.2369e+00
125200 +9.166495479e+00 +9.166495479e+00 -3.257350452e+01 -4.174000000e+01 +3.1165e+00 -2.7909e+00 +7.9273e-01 +3.6803e+00 +1.3998e+00 +5.4527e-01 +2.9615e+00 -1.7356e+00 -1.7955e+00 +2.8379e+00 -3.9942e+00 +3.0789e+00 +5.6863e-01 -2.9968e+00 -3.8760e+00 -3.5370e-01 -9.6807e-01 +1.8899e+00 -1.8993e+00 +4.2369e+00
164956 +6.162661621e+00 +6.162661621e+00 -3.557733838e+01 -4.174000000e+01 +3.1165e+00 -2.7909e+00 +7.9273e-01 +3.6803e+00 +1.4828e+00 +5.4527e-01 +2.9615e+00 -1.7160e+00 -1.8453e+00 +2.8379e+00 -3.9942e+00 +3.6240e+00 +5.6863e-01 -2.9397e+00 -3.8760e+00 -3.5370e-01 -9.6465e-01 +1.8899e+00 -1.8993e+00 +4.2369e+00
212720 +3.973853975e+00 +3.973853975e+00 -3.776614603e+01 -4.174000000e+01 +3.1165e+00 -2.7909e+00 -1.3310e-01 +3.7127e+00 +1.4828e+00 +5.4527e-01 +2.9615e+00 -1.7160e+00 -1.8453e+00 +2.8379e+00 -3.9942e+00 +3.6067e+00 +5.6863e-01 -2.9397e+00 -3.8663e+00 -3.4679e-01 -9.6465e-01 +1.8899e+00 -1.8993e+00 +3.8679e+00
256679 +2.332720623e+00 +2.332720623e+00 -3.940727938e+01 -4.174000000e+01 +3.0967e+00 -1.8297e+00 +7.9551e-01 +3.7094e+00 +1.4635e+00 +5.5408e-01 +2.9943e+00 -1.7317e+00 -1.8228e+00 +3.4693e+00 -3.9856e+00 +3.6228e+00 +5.6419e-01 -2.9641e+00 -3.8435e+00 -3.4375e-01 -9.7488e-01 +1.8859e+00 -1.9167e+00 +3.8771e+00
262153 +1.546304693e+00 +1.546304693e+00 -4.019369531e+01 -4.174000000e+01 +3.1390e+00 -1.8061e+00 -1.3310e-01 +3.7127e+00 +1.4828e+00 +5.4527e-01 +2.9615e+00 -1.7356e+00 -1.8179e+00 +3.4653e+00 -3.9942e+00 +3.6067e+00 +5.6863e-01 -2.9638e+00 -3.8663e+00 -3.4679e-01 -9.6465e-01 +1.8899e+00 -1.8993e+00 +3.8679e+00
302708 +9.428649834e-01 +9.428649834e-01 -4.079713502e+01 -4.174000000e+01 +3.0967e+00 -1.8337e+00 -1.4929e-01 +3.7094e+00 +1.4635e+00 +5.5408e-01 +2.9729e+00 -1.7317e+00 -1.8228e+00 +3.4693e+00 -3.9856e+00 +3.6092e+00 +5.6419e-01 -2.9641e+00 -3.8532e+00 -3.4375e-01 -9.7488e-01 +1.8859e+00 -1.9167e+00 +3.8771e+00
311822 +5.903559628e-01 +5.903559628e-01 -4.114964404e+01 -4.174000000e+01 +3.1390e+00 -1.8176e+00 -1.3310e-01 +3.7127e+00 +1.4828e+00 +5.4527e-01 +2.9696e+00 -1.7220e+00 -1.8179e+00 +3.4517e+00 -3.9899e+00 +3.6067e+00 +5.6237e-01 -2.9638e+00 -3.8663e+00 -3.4679e-01 -9.6465e-01 +1.8899e+00 -1.8993e+00 +3.8846e+00
311941 +3.907421587e-01 +3.907421587e-01 -4.134925784e+01 -4.174000000e+01 +3.1390e+00 -1.8176e+00 -1.3310e-01 +3.7127e+00 +1.4828e+00 +5.4527e-01 +2.9696e+00 -1.7220e+00 -1.8179e+00 +3.4653e+00 -3.9942e+00 +3.6067e+00 +5.6237e-01 -2.9638e+00 -3.8663e+00 -3.4679e-01 -9.6465e-01 +1.8899e+00 -1.9122e+00 +3.8846e+00
417681 +2.479254372e-01 +2.479254372e-01 -4.149207456e+01 -4.174000000e+01 +3.1372e+00 -1.8323e+00 -1.3931e-01 +3.6925e+00 +1.4760e+00 +5.3682e-01 +2.9853e+00 -1.7227e+00 -1.8375e+00 +3.4670e+00 -3.9811e+00 +3.6055e+00 +5.6177e-01 -2.9628e+00 -3.8635e+00 -3.4936e-01 -9.6564e-01 +1.8908e+00 -1.9116e+00 +3.8817e+00
467893 +1.502210196e-01 +1.502210196e-01 -4.158977898e+01 -4.174000000e+01 +3.1372e+00 -1.8323e+00 -1.3931e-01 +3.7071e+00 +1.4760e+00 +5.3682e-01 +2.9853e+00 -1.7227e+00 -1.8375e+00 +3.4670e+00 -3.9811e+00 +3.6055e+00 +5.6177e-01 -2.9628e+00 -3.8635e+00 -3.4486e-01 -9.6564e-01 +1.8908e+00 -1.9116e+00 +3.8817e+00
539865 +9.430638526e-02 +9.430638526e-02 -4.164569361e+01 -4.174000000e+01 +3.1286e+00 -1.8297e+00 -1.4013e-01 +3.7112e+00 +1.4771e+00 +5.4003e-01 +2.9793e+00 -1.7133e+00 -1.8266e+00 +3.4529e+00 -3.9811e+00 +3.6058e+00 +5.6177e-01 -2.9664e+00 -3.8628e+00 -3.4699e-01 -9.6412e-01 +1.8908e+00 -1.9126e+00 +3.8817e+00
653942 +5.800572957e-02 +5.800572957e-02 -4.168199427e+01 -4.174000000e+01 +3.1338e+00 -1.8339e+00 -1.3564e-01 +3.7112e+00 +1.4688e+00 +5.3144e-01 +2.9794e+00 -1.7220e+00 -1.8266e+00 +3.4564e+00 -3.9805e+00 +3.6067e+00 +5.6237e-01 -2.9664e+00 -3.8628e+00 -3.4534e-01 -9.6465e-01 +1.8899e+00 -1.9161e+00 +3.8846e+00
707207 +3.854557684e-02 +3.854557684e-02 -4.170145442e+01 -4.174000000e+01 +3.1292e+00 -1.8339e+00 -1.3564e-01 +3.7112e+00 +1.4724e+00 +5.4301e-01 +2.9794e+00 -1.7220e+00 -1.8266e+00 +3.4564e+00 -3.9805e+00 +3.6067e+00 +5.6237e-01 -2.9664e+00 -3.8628e+00 -3.4534e-01 -9.6465e-01 +1.8899e+00 -1.9112e+00 +3.8846e+00
736924 +2.505273811e-02 +2.505273811e-02 -4.171494726e+01 -4.174000000e+01 +3.1335e+00 -1.8345e+00 -1.3831e-01 +3.7071e+00 +1.4760e+00 +5.3682e-01 +2.9803e+00 -1.7227e+00 -1.8266e+00 +3.4608e+00 -3.9811e+00 +3.6100e+00 +5.6163e-01 -2.9667e+00 -3.8607e+00 -3.4679e-01 -9.6465e-01 +1.8899e+00 -1.9116e+00 +3.8835e+00
880409 +1.371923108e-02 +1.371923108e-02 -4.172628077e+01 -4.174000000e+01 +3.1292e+00 -1.8339e+00 -1.3564e-01 +3.7112e+00 +1.4733e+00 +5.3502e-01 +2.9794e+00 -1.7220e+00 -1.8283e+00 +3.4564e+00 -3.9811e+00 +3.6067e+00 +5.6237e-01 -2.9664e+00 -3.8607e+00 -3.4534e-01 -9.6465e-01 +1.8899e+00 -1.9112e+00 +3.8846e+00
977822 +9.613388609e-03 +9.613388609e-03 -4.173038661e+01 -4.174000000e+01 +3.1295e+00 -1.8354e+00 -1.3954e-01 +3.7087e+00 +1.4733e+00 +5.3602e-01 +2.9793e+00 -1.7194e+00 -1.8278e+00 +3.4573e+00 -3.9820e+00 +3.6076e+00 +5.6177e-01 -2.9664e+00 -3.8619e+00 -3.4566e-01 -9.6412e-01 +1.8908e+00 -1.9126e+00 +3.8838e+00
1170016 +4.897686246e-03 +4.897686246e-03 -4.173510231e+01 -4.174000000e+01 +3.1295e+00 -1.8354e+00 -1.3932e-01 +3.7087e+00 +1.4733e+00 +5.3602e-01 +2.9793e+00 -1.7220e+00 -1.8278e+00 +3.4573e+00 -3.9820e+00 +3.6076e+00 +5.6177e-01 -2.9664e+00 -3.8619e+00 -3.4566e-01 -9.6412e-01 +1.8899e+00 -1.9126e+00 +3.8838e+00
1175526 +3.907645809e-03 +3.907645809e-03 -4.173609235e+01 -4.174000000e+01 +3.1315e+00 -1.8337e+00 -1.3932e-01 +3.7087e+00 +1.4733e+00 +5.3602e-01 +2.9793e+00 -1.7220e+00 -1.8278e+00 +3.4573e+00 -3.9820e+00 +3.6076e+00 +5.6177e-01 -2.9650e+00 -3.8619e+00 -3.4566e-01 -9.6412e-01 +1.8899e+00 -1.9126e+00 +3.8838e+00
% function evaluation | noise-free fitness - Fopt (-4.948600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.151838881e+03 +3.151838881e+03 +2.656978881e+03 -4.948600000e+02 -4.2557e-02 +1.8192e+00 -4.8761e+00 -1.8655e-01 -6.1412e-01 +6.6100e-01 -4.1865e+00 +1.2736e+00 +4.7022e+00 -4.1139e+00 -4.4545e+00 +1.5266e+00 +4.7535e+00 +3.9267e+00 -4.5282e+00 -8.3254e-01 -2.7991e+00 -3.0560e+00 -4.9382e+00 -5.8332e-01
114 +6.989801743e+02 +6.989801743e+02 +2.041201743e+02 -4.948600000e+02 -3.7990e+00 +3.6128e-01 -2.9582e-01 +2.1704e+00 -3.9943e+00 -4.9032e+00 -4.7975e+00 -2.5697e+00 -2.6381e+00 -1.1805e+00 +3.5329e+00 +2.8739e-01 +4.5977e+00 -3.1273e+00 +1.2708e+00 -2.8221e+00 -2.7188e+00 +2.6856e+00 +1.1779e+00 -1.6304e+00
374 +5.570590971e+02 +5.570590971e+02 +6.219909708e+01 -4.948600000e+02 -2.1317e-01 +2.3509e+00 -3.6447e+00 -3.3071e+00 -2.0801e+00 -4.9010e+00 -4.8392e+00 -1.9212e+00 +4.1463e+00 +2.9248e+00 +1.6451e+00 -2.4792e+00 +2.0379e+00 -2.8452e+00 -2.7705e+00 -2.4342e+00 -1.5091e+00 +2.9035e+00 -2.8497e-01 +2.4704e+00
1066 +3.877373894e+02 +3.877373894e+02 -1.071226106e+02 -4.948600000e+02 +7.8557e-01 +7.8741e-01 +4.0035e+00 +2.1704e+00 -3.9943e+00 -4.9032e+00 -1.1667e+00 -2.0339e+00 +1.1970e+00 -1.0476e+00 +1.8673e+00 -2.4792e+00 +2.0379e+00 -3.0439e+00 -1.7152e+00 -4.3860e+00 +9.7208e-01 +2.9035e+00 -2.8497e-01 +2.4704e+00
1925 +2.458413398e+02 +2.458413398e+02 -2.490186602e+02 -4.948600000e+02 +3.4579e-01 -3.7754e-01 +4.2993e+00 +3.2320e-01 -2.4446e+00 -4.9032e+00 -1.3567e+00 -2.0339e+00 +4.0455e-01 +6.1851e-01 +1.8673e+00 -2.2296e-01 +2.0379e+00 -2.8452e+00 -1.7152e+00 -4.8148e+00 +9.7208e-01 +2.6747e+00 +1.9109e+00 +1.8582e+00
3734 +1.472026093e+02 +1.472026093e+02 -3.476573907e+02 -4.948600000e+02 +1.8141e-01 -2.5918e-01 +3.8868e+00 +3.2320e-01 -2.2634e+00 -4.5213e+00 -2.9498e+00 -2.0339e+00 +4.0455e-01 +6.1851e-01 +1.8673e+00 -3.1766e-01 +2.0379e+00 -2.8452e+00 -1.7152e+00 -4.3228e+00 +9.7208e-01 +2.4019e+00 +1.3186e+00 +1.8582e+00
17420 +9.838521683e+01 +9.838521683e+01 -3.964747832e+02 -4.948600000e+02 -4.7420e+00 -2.8974e+00 +1.1838e+00 +1.9265e+00 -1.6039e+00 -2.3713e+00 -4.8777e-01 +1.6704e+00 -7.1845e-02 +2.3933e+00 +1.4971e+00 +4.3524e-01 +3.0295e+00 -3.8194e+00 -1.2375e+00 -3.3698e+00 +1.3357e+00 +1.7946e+00 +2.0731e+00 +1.7601e+00
52381 +6.061924951e+01 +6.061924951e+01 -4.342407505e+02 -4.948600000e+02 -8.1340e-01 -1.1957e+00 +4.7852e+00 +2.2353e-01 -2.2634e+00 -3.9323e+00 -2.9498e+00 -2.0339e+00 +4.0455e-01 +1.9136e+00 +2.5411e+00 -3.1766e-01 +2.4114e+00 -3.2996e+00 -1.7152e+00 -3.4110e+00 +1.4128e+00 +2.1388e+00 +1.3186e+00 +1.0340e+00
58909 +3.713149889e+01 +3.713149889e+01 -4.577285011e+02 -4.948600000e+02 -3.6710e+00 -1.7366e-01 +2.1840e+00 -5.8906e-01 -3.0315e+00 -4.0224e+00 -9.3869e-01 -1.8561e-01 +1.6624e+00 +4.6314e+00 +1.5263e+00 -1.3769e+00 +3.3614e+00 -4.2705e+00 -1.7271e+00 -2.9668e+00 +1.3852e+00 +1.4083e+00 +2.0314e+00 +1.3499e+00
103987 +2.473492750e+01 +2.473492750e+01 -4.701250725e+02 -4.948600000e+02 -3.7357e+00 -1.7366e-01 +2.1840e+00 -5.8906e-01 -3.0315e+00 -4.0224e+00 -9.3869e-01 -1.8561e-01 +1.6624e+00 +4.0557e+00 +2.5559e+00 -1.4581e+00 +3.9048e+00 -4.2705e+00 -1.7271e+00 -2.9668e+00 +1.3852e+00 +1.4067e+00 +2.0314e+00 +1.3499e+00
111974 +1.558048149e+01 +1.558048149e+01 -4.792795185e+02 -4.948600000e+02 -2.7425e+00 -1.1803e+00 +3.8724e+00 +2.3333e-01 -2.2634e+00 -2.4733e+00 -1.0121e+00 -1.8589e-01 +4.0590e-01 +3.5636e+00 +3.0928e+00 -8.6884e-01 +3.8993e+00 -3.8243e+00 -1.6909e+00 -3.4345e+00 +1.3859e+00 +2.2067e+00 +1.7138e+00 +1.3440e+00
154957 +9.530891999e+00 +9.530891999e+00 -4.853291080e+02 -4.948600000e+02 -3.7357e+00 -1.7366e-01 +3.8075e+00 -6.5951e-01 -3.0315e+00 -4.0224e+00 -9.3869e-01 -1.8561e-01 +1.6412e+00 +3.5007e+00 +2.5559e+00 -8.9114e-01 +3.4193e+00 -3.8106e+00 -1.2927e+00 -3.4043e+00 +1.3852e+00 +1.4561e+00 +2.0314e+00 +1.3499e+00
